registration,model_code,model_text,country_code,production_date,owner_icao
1EJF401,GRND,Ground Vehicle,AU,,
2-KOOL,P28A,Piper PA-28-181 Archer II,GG,1986-01-01,
2-PHIL,PRM1,Beech 390 Premier IA,GG,2007-01-01,
2-TEAM,C25B,Cessna 525B Citation CJ3+,GG,2017-01-01,
2-TRVL,CL60,Bombardier Challenger 650,GG,2018-01-01,VLZ
2B2A66,GLID,,,,
3A-MTG,EC55,Airbus Helicopters H155,MC,,
4K-8888,A319,Airbus A319-115(CJ),AZ,2005-06-01,AHY
4K-AZ04,A319,Airbus A319-111,AZ,2005-10-01,AHY
4K-AZ100,IL76,Ilyushin IL-76TD-90VD,AZ,2006-01-01,AZQ
4K-AZ101,IL76,Ilyushin IL-76TD-90VD,AZ,2008-05-01,AZQ
4K-AZ102,IL76,Ilyushin Il-76TD,AZ,1993-12-01,AZQ
4K-AZ11,B752,Boeing 757-22L,AZ,1999-10-01,AHY
4K-AZ117,A139,Leonardo AW139,AZ,,
4K-AZ40,IL76,Ilyushin IL-76TD,AZ,1994-10-01,AZQ
4K-AZ41,IL76,Ilyushin IL-76TD,AZ,1999-01-01,AZQ
4K-AZ77,A320,Airbus A320-214,AZ,2006-07-01,AHY
4K-AZ78,A320,Airbus A320-214,AZ,2006-07-01,AHY
4K-AZ79,A320,Airbus A320-214,AZ,2006-07-01,AHY
4K-AZ80,A320,Airbus A320-214,AZ,2006-12-01,AHY
4K-AZ82,B763,Boeing 767-32L(ER),AZ,2012-06-01,AHY
4K-AZ83,A320,Airbus A320-214,AZ,2006-02-01,AHY
4K-AZ84,A320,Airbus A320-214,AZ,2006-12-01,AHY
4K-AZ888,GLF4,Gulfstream G450,AZ,2005-08-01,ESW
4K-BCH,B744,Boeing 747-467F,AZ,2000-09-01,AZG
4K-BCI,B744,Boeing 747-467F,AZ,2001-03-01,AZG
4K-BCR,B744,Boeing 747-4H6(F),AZ,2006-03-01,AZG
4K-BCV,B744,Boeing 747-4H6F,AZ,2006-05-01,AZG
4K-JJ8,G280,Gulfstream G280,AZ,2012-01-01,ESW
4K-SW008,B744,Boeing 747-4R7F,AZ,1999-09-01,AZG
4K-SW800,B744,Boeing 747-4R7F,AZ,1998-11-01,AZG
4K-SW888,B744,Boeing 747-4R7F,AZ,1999-02-01,AZG
4L-BQJ,B738,Boeing 737-8AL,GE,2007-05-01,MYW
4L-GTD,B738,Boeing 737-8FH,GE,2008-01-01,TGZ
4L-GTI,B737,Boeing 737-7CT,GE,2008-05-01,TGZ
4L-MGT,E195,Embraer E195LR,GE,2006-04-01,
4L-NIK,B737,Boeing 737-783,GE,2009-11-01,TGZ
4L-TGB,CRJ2,Mitsubishi CRJ-200LR,GE,2000-01-01,TGZ
4L-TGC,B738,Boeing 737-8FH,GE,2007-01-01,
4O-AOA,E195,Embraer E195LR,ME,2008-05-01,MNE
4O-AOB,E195,Embraer E195LR,ME,2009-04-01,MNE
4O-MNE,LJ45,Learjet 45,,,
4R-ABO,A320,Airbus A320-214,LK,2011-11-01,ALK
4R-ABQ,A321,Airbus A321-231,LK,2008-02-01,ALK
4R-ALA,A332,Airbus A330-243,LK,1999-10-01,ALK
4R-ALB,A332,Airbus A330-243,LK,1999-10-01,ALK
4R-ALL,A333,Airbus A330-343,LK,2014-09-01,ALK
4R-ALM,A333,Airbus A330-343,LK,2014-11-01,ALK
4R-ALN,A333,Airbus A330-343,LK,2015-01-01,ALK
4R-ALO,A333,Airbus A330-343,LK,2015-07-01,ALK
4R-ALP,A333,Airbus A330-343,LK,2015-10-01,ALK
4R-ALQ,A333,Airbus A330-343,LK,2015-11-01,ALK
4R-ALR,A333,Airbus A330-343,LK,2015-12-01,ALK
4R-ALS,A332,Airbus A330-243,,2009-03-01,ALK
4R-ANA,A20N,Airbus A320-251N,LK,2017-02-01,ALK
4R-ANC,A21N,Airbus A321-251N,LK,2017-05-01,ALK
4R-MRE,A320,Airbus A320-232,LK,2006-03-01,ALK
4X-ABF,A320,Airbus A320-232,IL,2010-06-01,ISR
4X-ABG,A320,Airbus A320-232,IL,2010-09-01,ISR
4X-ABI,A320,Airbus A320-232,IL,2016-04-01,ISR
4X-ABS,A320,Airbus A320-232,IL,2006-03-01,ISR
4X-ABT,A320,Airbus A320-232,IL,2014-07-01,ISR
4X-AGH,A21N,Airbus A321-251NX,IL,2018-10-01,AIZ
4X-AGK,A21N,Airbus A321-251NX,IL,2018-12-01,AIZ
4X-ATH,AT75,ATR 72-500,IL,2010-11-01,ISR
4X-ATI,AT75,ATR 72-500,IL,2011-07-01,ISR
4X-ATJ,AT75,ATR 72-500,IL,2008-03-01,
4X-EDI,B789,Boeing 787-9 Dreamliner,IL,2018-12-01,ELY
4X-EHF,B739,Boeing 737-958(ER),IL,2016-02-01,ELY
4X-EHH,B739,Boeing 737-958(ER),IL,2016-02-01,ELY
4X-EHI,B739,Boeing 737-958(ER),IL,2016-03-01,ELY
4X-ICA,B744,Boeing 747-4EVF(ER),IL,2007-02-01,ICL
4X-ICB,B744,Boeing 747-412F,IL,1994-09-01,
5A-BRC,A320,Airbus A320-214,LY,2010-07-01,BNL
5A-DFN,C68A,Cessna 680A Citation Latitude,LY,2020-01-01,
5A-DRL,C56X,Cessna 560XL Citation XLS,LY,2008-01-01,
5A-GRR,B733,Boeing 737-341,LY,1991-06-01,GMS
5A-LAH,A320,Airbus A320-214,LY,2010-08-01,LAA
5A-LAK,A320,Airbus A320-214,LY,2010-12-01,LAA
5A-LAM,CRJ9,Mitsubishi CRJ-900ER,LY,2010-11-01,LAA
5A-LAP,A320,Airbus A320-214,LY,2012-11-01,LAA
5A-LAQ,A320,Airbus A320-214,LY,2013-01-01,LAA
5A-ONA,A320,Airbus A320-214,LY,2007-08-01,AAW
5A-ONJ,A320,Airbus A320-214,LY,2010-01-01,AAW
5A-ONL,A320,Airbus A320-214,LY,2010-10-01,AAW
5A-ONO,A320,Airbus A320-214,LY,2013-01-01,AAW
5A-ONR,A333,Airbus A330-302,LY,2014-06-01,AAW
5A-WLA,A319,Airbus A319-112,LY,2006-08-01,LWA
5A-WLB,A319,Airbus A319-112,LY,2006-11-01,LWA
5A-WLC,A319,Airbus A319-112,LY,2006-10-01,LWA
5A-WLD,A319,Airbus A319-112,LY,2006-11-01,LWA
5B-DCW,A319,Airbus A319-114,CY,2017-06-01,
5B-DDN,A320,Airbus A320-214,CY,2009-03-01,CYF
5H-GAS,C208,Cessna 208 Grand Caravan EX,,2018-01-01,CSV
5H-TCB,DH8D,De Havilland Canada Dash 8-400,TZ,2016-01-01,ATC
5H-TCD,DH8D,De Havilland Canada Dash 8-400,TZ,2016-01-01,ATC
5H-TCE,DH8D,De Havilland Canada Dash 8-400,TZ,2017-06-01,ATC
5H-TCF,DH8D,De Havilland Canada Dash 8-400,TZ,2019-11-01,ATC
5H-TCG,B788,Boeing 787-8 Dreamliner,TZ,2018-06-01,ATC
5H-TCH,BCS3,Airbus A220-300,TZ,2018-12-01,ATC
5H-TCI,BCS3,Airbus A220-300,TZ,2018-12-01,ATC
5H-TCJ,B788,Boeing 787-8 Dreamliner,TZ,2019-10-01,ATC
5H-TCK,DH8D,De Havilland Canada Dash 8-400,TZ,2020-12-01,ATC
5N-BKR,B735,Boeing 737-522,NG,1993-05-01,NIG
5N-BLE,B735,Boeing 737-522,NG,1992-07-01,NIG
5N-BOC,B734,Boeing 737-42C,NG,1992-04-01,NIG
5N-BQB,A139,Leonardo AW139,NG,,
5N-BQP,B733,Boeing 737-33R,NG,1997-06-01,APK
5N-BUL,B733,Boeing 737-36N,NG,1997-07-01,APK
5N-BVE,B772,Boeing 777-21H(ER),NG,1998-10-01,APK
5N-BWE,S92,Sikorsky S-92 Helibus,,,BHL
5N-BYG,E295,Embraer E195-E2,NG,2021-01-01,APK
5N-BYH,E295,Embraer E195-E2,NG,2020-11-01,APK
5N-BYI,E295,Embraer E195-E2,NG,2021-08-01,APK
5N-BYJ,E295,Embraer E195-E2,NG,2021-09-01,APK
5N-BYL,A139,Leonardo AW139,NG,,
5N-BYQ,B733,Boeing 737-36Q,NG,1999-08-01,
5N-BYR,B733,Boeing 737-31S,NG,1998-12-01,
5N-HMM,B744,Boeing 747-4B5,NG,1998-08-01,NGL
5N-JLA,E35L,Embraer Legacy 600,NG,2006-01-01,
5N-MJF,B737,Boeing 737-7GL,NG,2007-10-01,ARA
5N-MJQ,B738,Boeing 737-8JE,NG,2009-10-01,ARA
