airline_id,name,alias,code,callsign,country,active
-1,Unknown,\N,N/A,\N,\N,True
1,Private flight,\N,N/A,,,True
2,135 Airways,\N,GNL,GENERAL,United States,False
3,1Time Airline,\N,RNX,NEXTIME,South Africa,True
4,2 Sqn No 1 Elementary Flying Training School,\N,WYT,,United Kingdom,False
5,213 Flight Unit,\N,TFU,,Russia,False
6,223 Flight Unit State Airline,\N,CHD,CHKALOVSK-AVIA,Russia,False
7,224th Flight Unit,\N,TTF,CARGO UNIT,Russia,False
8,247 Jet Ltd,\N,TWF,CLOUD RUNNER,United Kingdom,False
9,3D Aviation,\N,SEC,SECUREX,United States,False
10,40-Mile Air,\N,MLA,MILE-AIR,United States,True
11,4D Air,\N,QRT,QUARTET,Thailand,False
12,611897 Alberta Limited,\N,THD,DONUT,Canada,False
13,Ansett Australia,\N,AAA,ANSETT,Australia,True
14,Abacus International,\N,,,Singapore,True
15,Abelag Aviation,\N,AAB,ABG,Belgium,False
16,Army Air Corps,\N,AAC,ARMYAIR,United Kingdom,False
17,Aero Aviation Centre Ltd.,\N,AAD,SUNRISE,Canada,False
18,Aero Servicios Ejecutivos Internacionales,\N,SII,ASEISA,Mexico,False
19,Aero Biniza,\N,BZS,BINIZA,Mexico,False
20,Aero Albatros,\N,ABM,ALBATROS ESPANA,Spain,False
21,Aigle Azur,\N,AAF,AIGLE AZUR,France,True
22,Aloha Airlines,\N,AAH,ALOHA,United States,True
23,Alaska Island Air,\N,AAK,ALASKA ISLAND,United States,False
24,American Airlines,\N,AAL,AMERICAN,United States,True
25,Aviation Management Corporation,\N,AAM,AM CORP,United States,False
26,Atlantis Airlines (USA),\N,AAO,ATLANTIS AIR,United States,False
27,Aerovista Airlines,\N,AAP,AEROVISTA GROUP,United Arab Emirates,False
28,Asiana Airlines,\N,AAR,ASIANA,Republic of Korea,True
29,Askari Aviation,\N,AAS,AL-AAS,Pakistan,True
30,Australia Asia Airlines,\N,AAU,AUSTASIA,Australia,False
31,Astro Air International,\N,AAV,ASTRO-PHIL,United States,False
32,Afriqiyah Airways,\N,AAW,AFRIQIYAH,Libya,True
33,Afrinat International Airlines,\N,AFU,,Gambia,False
34,Afric'air Express,\N,AAX,AFREX,Ivory Coast,False
35,Allegiant Air,\N,AAY,ALLEGIANT,United States,True
36,Angus Aviation,\N,AAZ,ANGUS,Canada,False
37,Artem-Avia,\N,ABA,ARTEM-AVIA,Ukraine,False
38,African Business and Transportations,\N,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,False
