name,description,turbulence_category,designator,manufacturer,type,engine_count,engine_type
Dornier 328JET,L2J,M,J328,328 SUPPORT SERVICES,LandPlane,2,Jet
450 Ultra,L1P,L,UL45,3XTRIM,LandPlane,1,Piston
Ultra,L1P,L,UL45,3XTRIM,LandPlane,1,Piston
550 Trener,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
Trener  ,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
3X-47 Ultra,L1P,L,UL45,3XTRIM,LandPlane,1,Piston
3X-55 Trener,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
3X-LS Navigator 600,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
Navigator 600,L1P,L,TR55,3XTRIM,LandPlane,1,Piston
Ellipse Spirit,L1P,L,ELSP,A2 CZ,LandPlane,1,Piston
VNS-41,A2P,L,CE22,A-41,Amphibian,2,Piston
SeaStar,A1P,L,PETR,AAC,Amphibian,1,Piston
Bushman,L1P,L,BMAN,AAK,LandPlane,1,Piston
Hornet,L1P,L,HRNT,AAK,LandPlane,1,Piston
Wasp,L1P,L,WSP,AAK,LandPlane,1,Piston
Flamingo,L1P,L,FMGO,AAK,LandPlane,1,Piston
A-9 Quail,L1P,L,A9,AAMSA,LandPlane,1,Piston
Quail,L1P,L,A9,AAMSA,LandPlane,1,Piston
Jetcruzer,L1T,L,JCRU,AASI,LandPlane,1,Turboprop/Turboshaft
Gazelle,H1T,L,GAZL,ABHCO,Helicopter,1,Turboprop/Turboshaft
SA-342 Gazelle,H1T,L,GAZL,ABHCO,Helicopter,1,Turboprop/Turboshaft
RF-9,L1P,L,RF9,ABS,LandPlane,1,Piston
Xenon,G1P,L,XNON,ABS AEROLIGHT,Gyrocopter,1,Piston
ACBA-8 Midour 2,L1P,L,MIDR,ACBA,LandPlane,1,Piston
Midour 2,L1P,L,MIDR,ACBA,LandPlane,1,Piston
Junior Ace,L1P,L,JACE,ACE,LandPlane,1,Piston
Super Ace,L1P,L,SACE,ACE,LandPlane,1,Piston
A-200 Aeriks 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
A-200 Aeris 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
Aeriks 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
Aeris 200,L1P,L,ARKS,ACEAIR,LandPlane,1,Piston
Cuby 2,L1P,L,CUB2,ACES HIGH,LandPlane,1,Piston
Acro-Sport 1,L1P,L,ACRO,ACRO SPORT,LandPlane,1,Piston
Acro-Sport 2,L1P,L,ACR2,ACRO SPORT,LandPlane,1,Piston
Cougar,L1P,L,COUG,ACRO SPORT,LandPlane,1,Piston
Junior Ace,L1P,L,JACE,ACRO SPORT,LandPlane,1,Piston
Super Ace,L1P,L,SACE,ACRO SPORT,LandPlane,1,Piston
Super Acro-Sport,L1P,L,ACRO,ACRO SPORT,LandPlane,1,Piston
ACS-100 Sora,L1P,L,SORA,ACS (1),LandPlane,1,Piston
Sora,L1P,L,SORA,ACS (1),LandPlane,1,Piston
Skyleader 600,L1P,L,J600,ACS (2),LandPlane,1,Piston
JA-600 Skyleader 600,L1P,L,J600,ACS (2),LandPlane,1,Piston
