name,population,latitude,longitude
Вінницька,1507738,49.05815248,28.54590722
Волинська,1020770,50.55005632,25.48861496
Дніпропетровська,3093151,48.328132,35.042936
Донецька,4056405,47.88127216,37.76125028
Житомирська,1177564,50.06928736,28.76668052
Закарпатська,1243721,48.48052816,22.509503
Запорізька,1636322,47.71455232,35.13960422
Івано-Франківська,1350565,48.77177632,24.88500404
Київська,4746244,50.25988,30.60150824
Кіровоградська,902275,48.36983632,32.31567278
Луганська,2101653,48.44096752,39.26496722
Львівська,2476113,49.66734736,24.2171771
Миколаївська,1090492,46.86575248,32.0534
Одеська,2349749,46.389076,30.80703884
Полтавська,1350564,49.40669536,34.57936124
Рівненська,1140902,50.42523568,26.40022676
Сумська,1034364,50.70498592,34.80613328
Тернопільська,1020953,49.39919248,25.75964
Харківська,2596250,49.8214,36.21239528
Херсонська,1000370,46.54088752,32.64344
Хмельницька,1227474,49.256248,27.1364
Черкаська,1159200,49.28002336,32.11210898
Чернівецька,889928,48.15595552,26.08848896
Чернігівська,957665,51.27705616,31.35980798
