date,buy,sell
2020-12-06 02:00:00,28.36,28.405
2020-12-07 02:00:00,28.25,28.32
2020-12-08 02:00:00,28.235,28.29
2020-12-09 02:00:00,28.17,28.22
2020-12-10 02:00:00,28.16,28.2
2020-12-11 02:00:00,28.1,28.15
2020-12-12 02:00:00,28.1,28.14
2020-12-13 02:00:00,28.1,28.14
2020-12-14 02:00:00,27.88,27.95
2020-12-15 02:00:00,27.83,27.9
2020-12-16 02:00:00,27.95,28
2020-12-17 02:00:00,27.93,28
2020-12-18 02:00:00,27.98,28.07
2020-12-19 02:00:00,28.02,28.08
2020-12-20 02:00:00,28.03,28.08
2020-12-21 02:00:00,28.17,28.25
2020-12-22 02:00:00,28.35,28.415
2020-12-23 02:00:00,28.25,28.35
2020-12-24 02:00:00,28.22,28.28
2020-12-25 02:00:00,28.23,28.27
2020-12-26 02:00:00,28.22,28.27
2020-12-27 02:00:00,28.21,28.25
2020-12-28 02:00:00,28.2,28.25
2020-12-29 02:00:00,28.18,28.24
2020-12-30 02:00:00,28.34,28.41
2020-12-31 02:00:00,28.38,28.45
2021-01-01 02:00:00,28.38,28.47
2021-01-02 02:00:00,28.35,28.45
2021-01-03 02:00:00,28.345,28.44
2021-01-04 02:00:00,28.45,28.53
2021-01-05 02:00:00,28.36,28.42
2021-01-06 02:00:00,28.4,28.45
2021-01-07 02:00:00,28.39,28.45
2021-01-08 02:00:00,28.375,28.43
2021-01-09 02:00:00,28.36,28.42
2021-01-10 02:00:00,28.35,28.4
2021-01-11 02:00:00,28.25,28.315
2021-01-12 02:00:00,28.13,28.18
2021-01-13 02:00:00,28.15,28.22
2021-01-14 02:00:00,28.19,28.25
2021-01-15 02:00:00,28.2,28.25
2021-01-16 02:00:00,28.21,28.27
2021-01-17 02:00:00,28.21,28.26
2021-01-18 02:00:00,28.25,28.29
2021-01-19 02:00:00,28.18,28.23
2021-01-20 02:00:00,28.23,28.28
2021-01-21 02:00:00,28.22,28.27
2021-01-22 02:00:00,28.2,28.25
2021-01-23 02:00:00,28.2,28.24
2021-01-24 02:00:00,28.2,28.24
2021-01-25 02:00:00,28.18,28.22
2021-01-26 02:00:00,28.17,28.22
2021-01-27 02:00:00,28.17,28.2
2021-01-28 02:00:00,28.13,28.17
2021-01-29 02:00:00,28.11,28.15
2021-01-30 02:00:00,28.115,28.15
2021-01-31 02:00:00,28.11,28.15
2021-02-01 02:00:00,28.05,28.09
2021-02-02 02:00:00,28.05,28.1
2021-02-03 02:00:00,27.98,28.03
2021-02-04 02:00:00,27.915,27.955
2021-02-05 02:00:00,27.85,27.9
2021-02-06 02:00:00,27.86,27.9
2021-02-07 02:00:00,27.86,27.91
2021-02-08 02:00:00,27.72,27.8
2021-02-09 02:00:00,27.75,27.8
2021-02-10 02:00:00,27.9,28
2021-02-11 02:00:00,27.84,27.9
2021-02-12 02:00:00,27.94,28
2021-02-13 02:00:00,27.95,28
2021-02-14 02:00:00,27.92,27.98
2021-02-15 02:00:00,27.87,27.93
2021-02-16 02:00:00,27.91,27.975
2021-02-17 02:00:00,27.87,27.93
2021-02-18 02:00:00,27.88,27.92
2021-02-19 02:00:00,27.9,27.95
2021-02-20 02:00:00,27.9,27.94
2021-02-21 02:00:00,27.89,27.94
2021-02-22 02:00:00,27.89,27.93
2021-02-23 02:00:00,27.9,27.95
2021-02-24 02:00:00,27.9,27.95
2021-02-25 02:00:00,27.86,27.9
2021-02-26 02:00:00,27.9,27.94
2021-02-27 02:00:00,27.9,27.935
2021-02-28 02:00:00,27.9,27.94
2021-03-01 02:00:00,27.88,27.94
2021-03-02 02:00:00,27.86,27.9
2021-03-03 02:00:00,27.75,27.82
2021-03-04 02:00:00,27.67,27.73
2021-03-05 02:00:00,27.75,27.8
2021-03-06 02:00:00,27.76,27.82
2021-03-07 02:00:00,27.76,27.8
2021-03-08 02:00:00,27.75,27.8
2021-03-09 02:00:00,27.7,27.75
2021-03-10 02:00:00,27.74,27.78
2021-03-11 02:00:00,27.73,27.77
2021-03-12 02:00:00,27.73,27.77
2021-03-13 02:00:00,27.72,27.76
2021-03-14 02:00:00,27.71,27.75
2021-03-15 02:00:00,27.62,27.68
2021-03-16 02:00:00,27.67,27.73
2021-03-17 02:00:00,27.67,27.72
2021-03-18 02:00:00,27.67,27.7
2021-03-19 02:00:00,27.67,27.72
2021-03-20 02:00:00,27.67,27.71
2021-03-21 02:00:00,27.67,27.7
2021-03-22 02:00:00,27.65,27.69
2021-03-23 02:00:00,27.7,27.77
2021-03-24 02:00:00,27.8,27.88
2021-03-25 02:00:00,27.88,27.95
2021-03-26 02:00:00,27.875,27.92
2021-03-27 02:00:00,27.85,27.9
2021-03-28 02:00:00,27.84,27.9
2021-03-29 03:00:00,27.85,27.9
2021-03-30 03:00:00,27.75,27.81
2021-03-31 03:00:00,27.74,27.78
2021-04-01 03:00:00,27.755,27.8
2021-04-02 03:00:00,27.85,27.91
2021-04-03 03:00:00,27.84,27.9
2021-04-04 03:00:00,27.84,27.89
2021-04-05 03:00:00,27.75,27.8
2021-04-06 03:00:00,27.73,27.78
2021-04-07 03:00:00,27.83,27.87
2021-04-08 03:00:00,27.82,27.88
2021-04-09 03:00:00,27.83,27.88
2021-04-10 03:00:00,27.83,27.88
2021-04-11 03:00:00,27.84,27.88
2021-04-12 03:00:00,27.87,27.92
2021-04-13 03:00:00,27.96,28.045
2021-04-14 03:00:00,27.88,27.93
2021-04-15 03:00:00,27.9,27.95
2021-04-16 03:00:00,27.93,27.98
2021-04-17 03:00:00,27.93,27.97
2021-04-18 03:00:00,27.93,27.98
2021-04-19 03:00:00,27.92,27.97
2021-04-20 03:00:00,27.92,27.97
2021-04-21 03:00:00,27.98,28.045
2021-04-22 03:00:00,27.98,28.04
2021-04-24 03:00:00,27.86,27.92
2021-04-25 03:00:00,27.85,27.9
2021-04-26 03:00:00,27.755,27.81
2021-04-27 03:00:00,27.71,27.76
2021-04-28 03:00:00,27.72,27.76
2021-04-29 03:00:00,27.68,27.72
2021-04-30 03:00:00,27.7,27.75
2021-05-01 03:00:00,27.71,27.77
2021-05-02 03:00:00,27.7,27.77
2021-05-03 03:00:00,27.72,27.77
2021-05-04 03:00:00,27.725,27.76
2021-05-05 03:00:00,27.68,27.73
2021-05-06 03:00:00,27.73,27.77
2021-05-07 03:00:00,27.74,27.79
2021-05-08 03:00:00,27.73,27.77
2021-05-09 03:00:00,27.72,27.77
2021-05-10 03:00:00,27.7,27.75
2021-05-11 03:00:00,27.64,27.7
2021-05-12 03:00:00,27.65,27.7
2021-05-13 03:00:00,27.62,27.67
2021-05-14 03:00:00,27.57,27.62
2021-05-15 03:00:00,27.56,27.61
2021-05-16 03:00:00,27.56,27.6
2021-05-17 03:00:00,27.53,27.58
2021-05-18 03:00:00,27.45,27.52
2021-05-19 03:00:00,27.46,27.5
2021-05-20 03:00:00,27.485,27.53
2021-05-21 03:00:00,27.46,27.5
2021-05-22 03:00:00,27.45,27.5
2021-05-23 03:00:00,27.43,27.49
2021-05-24 03:00:00,27.42,27.47
2021-05-25 03:00:00,27.435,27.48
2021-05-26 03:00:00,27.48,27.53
2021-05-27 03:00:00,27.47,27.51
2021-05-28 03:00:00,27.46,27.5
2021-05-29 03:00:00,27.43,27.47
2021-05-30 03:00:00,27.41,27.46
2021-05-31 03:00:00,27.4,27.45
2021-06-01 03:00:00,27.37,27.42
2021-06-02 03:00:00,27.28,27.35
2021-06-03 03:00:00,27.22,27.27
2021-06-04 03:00:00,27.16,27.22
2021-06-05 03:00:00,27.15,27.2
2021-06-06 03:00:00,27.13,27.185
2021-06-07 03:00:00,27.1,27.15
2021-06-08 03:00:00,27.06,27.12
2021-06-09 03:00:00,27.03,27.08
2021-06-10 03:00:00,27.05,27.1
2021-06-11 03:00:00,27.01,27.06
2021-06-12 03:00:00,27,27.05
2021-06-13 03:00:00,27,27.05
2021-06-14 03:00:00,26.92,26.98
2021-06-15 03:00:00,26.9,27
2021-06-16 03:00:00,27,27.08
2021-06-17 03:00:00,27.13,27.2
2021-06-18 03:00:00,27.16,27.23
2021-06-19 03:00:00,27.16,27.23
2021-06-20 03:00:00,27.15,27.22
2021-06-21 03:00:00,27.16,27.22
2021-06-22 03:00:00,27.25,27.3
2021-06-23 03:00:00,27.25,27.35
2021-06-24 03:00:00,27.37,27.43
